rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,5.7,3Tw3,1.0,gpusa2018,0.0,,7.08,1.38,,1,,1819,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,3.15,3T<,2.0,gpusa2018,0.0,,2.29,-0.86,<,1,,1819,-4.0,-3.0,-3.0,-3.0,-2.0,-5.0,-1.0,-3.0,-1.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,5.0,3LoTh,3.0,gpusa2018,0.0,,5.43,0.43,,1,,1819,2.0,1.0,2.0,0.0,1.0,0.0,1.0,-2.0,1.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,4.7,BoDs4,4.0,gpusa2018,0.0,,6.24,1.54,,1,,1819,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,5.1,4Li4,5.0,gpusa2018,0.0,,6.48,1.38,,1,,1819,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,3.5,CCoSp4,6.0,gpusa2018,0.0,,4.1,0.6,,1,,1819,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,3.3,StSq3,7.0,gpusa2018,0.0,,3.82,0.52,,1,,1819,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,4.0,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,,,,gpusa2018,,0.8,8.71,,,0,Composition,1819,8.75,9.5,9.0,8.5,8.75,8.75,8.5,8.25,8.75,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,,,,gpusa2018,,0.8,8.61,,,0,Interpretation of the Music,1819,8.5,9.25,8.75,8.25,8.75,8.5,8.75,8.0,8.75,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,,,,gpusa2018,,0.8,8.64,,,0,Performance,1819,8.75,9.0,9.0,8.25,8.5,8.5,8.75,8.0,8.75,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,,,,gpusa2018,,0.8,8.68,,,0,Skating Skills,1819,8.75,9.5,9.0,8.5,8.75,8.5,8.5,8.25,8.75,1,pairs,individual
1,Evgenia Tarasova / Vladimir Morozov,RUS,8,71.24,36.67,34.57,0.0,,,,gpusa2018,,0.8,8.57,,,0,Transitions,1819,8.5,9.0,9.25,8.25,8.75,8.25,8.75,7.75,8.5,1,pairs,individual
2,Alisa Efimova / Alexander Korovin,RUS,6,62.38,32.77,29.61,0.0,5.7,3Tw3,1.0,gpusa2018,0.0,,6.51,0.81,,1,,1819,1.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1,pairs,individual
2,Alisa Efimova / Alexander Korovin,RUS,6,62.38,32.77,29.61,0.0,3.23,3S<,2.0,gpusa2018,0.0,,1.84,-1.39,<,1,,1819,-5.0,-5.0,-3.0,-4.0,-5.0,-5.0,-2.0,-4.0,-4.0,1,pairs,individual
2,Alisa Efimova / Alexander Korovin,RUS,6,62.38,32.77,29.61,0.0,5.0,3LoTh,3.0,gpusa2018,0.0,,6.43,1.43,,1,,1819,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1,pairs,individual
2,Alisa Efimova / Alexander Korovin,RUS,6,62.38,32.77,29.61,0.0,5.1,4Li4,4.0,gpusa2018,0.0,,6.05,0.95,,1,,1819,2.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,1,pairs,individual
2,Alisa Efimova / Alexander Korovin,RUS,6,62.38,32.77,29.61,0.0,3.9,StSq4,5.0,gpusa2018,0.0,,4.85,0.95,,1,,1819,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1,pairs,individual
