rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,11.5,4Lz,1.0,gpusa2021,0.0,,14.95,3.45,,1,,2122,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,11.0,4F!,2.0,gpusa2021,0.0,,12.41,1.41,!,1,,2122,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,9.7,4Sq,3.0,gpusa2021,0.0,,10.12,0.42,q,1,,2122,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,9.5,4Tq,4.0,gpusa2021,0.0,,9.36,-0.14,q,1,,2122,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,3.0,ChSq1,5.0,gpusa2021,0.0,,4.57,1.57,,1,,2122,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,15.29,4Sq+3T,6.0,gpusa2021,1.0,,15.43,0.14,q,1,,2122,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,14.08,3A+1Eu+3S,7.0,gpusa2021,1.0,,15.91,1.83,,1,,2122,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,3.2,FCSp4,8.0,gpusa2021,0.0,,3.84,0.64,,1,,2122,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,2.6,CSSp3,9.0,gpusa2021,0.0,,3.05,0.45,,1,,2122,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,10.23,3A+2T,10.0,gpusa2021,1.0,,11.14,0.91,,1,,2122,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,3.9,StSq4,11.0,gpusa2021,0.0,,5.01,1.11,,1,,2122,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,3.5,CCoSp4,12.0,gpusa2021,0.0,,4.4,0.9,,1,,2122,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,,,,gpusa2021,,2.0,8.82,,,0,Composition,2122,9.25,8.75,8.75,9.25,8.5,8.5,9.0,8.5,9.0,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,,,,gpusa2021,,2.0,8.75,,,0,Interpretation of the Music,2122,8.75,8.75,8.75,9.0,8.5,8.5,9.0,8.5,9.25,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,,,,gpusa2021,,2.0,9.0,,,0,Performance,2122,8.75,9.0,9.0,9.25,8.75,8.75,9.25,9.0,9.25,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,,,,gpusa2021,,2.0,8.79,,,0,Skating Skills,2122,8.75,8.75,8.75,9.0,8.25,8.75,9.0,8.75,8.75,0,men,individual
1,Vincent Zhou,USA,11,198.13,110.19,87.94,0.0,,,,gpusa2021,,2.0,8.61,,,0,Transitions,2122,8.75,8.75,8.5,8.75,8.25,8.25,8.75,8.5,9.0,0,men,individual
2,Nathan Chen,USA,8,186.48,96.5,89.98,0.0,10.5,4Lo,1.0,gpusa2021,0.0,,11.85,1.35,,1,,2122,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0,men,individual
2,Nathan Chen,USA,8,186.48,96.5,89.98,0.0,2.1,2Lz,2.0,gpusa2021,0.0,,2.4,0.3,,1,,2122,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0,men,individual
2,Nathan Chen,USA,8,186.48,96.5,89.98,0.0,15.2,4F+3T,3.0,gpusa2021,0.0,,17.24,2.04,,1,,2122,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,0,men,individual
2,Nathan Chen,USA,8,186.48,96.5,89.98,0.0,1.3,2S,4.0,gpusa2021,0.0,,1.39,0.09,,1,,2122,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0,men,individual
2,Nathan Chen,USA,8,186.48,96.5,89.98,0.0,3.2,CCSp4,5.0,gpusa2021,0.0,,3.98,0.78,,1,,2122,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,0,men,individual
