rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,11.5,4Lz,1.0,gpfra2019,0.0,,11.01,-0.49,,1,,1920,0.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,2.0,1.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,7.2,3Lz+2T,2.0,gpfra2019,0.0,,8.13,0.93,,1,,1920,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,15.3,4T+1Eu+3F,3.0,gpfra2019,0.0,,18.29,2.99,,1,,1920,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,3.5,CCoSp4,4.0,gpfra2019,0.0,,4.55,1.05,,1,,1920,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,8.0,3A,5.0,gpfra2019,0.0,,10.51,2.51,,1,,1920,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,3.9,StSq4,6.0,gpfra2019,0.0,,5.24,1.34,,1,,1920,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,10.67,4S,7.0,gpfra2019,1.0,,9.15,-1.52,,1,,1920,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-3.0,-1.0,-1.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,10.45,4T,8.0,gpfra2019,1.0,,10.31,-0.14,,1,,1920,1.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,1.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,10.23,3A+2T,9.0,gpfra2019,1.0,,10.57,0.34,,1,,1920,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,2.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,3.2,CCSp4,10.0,gpfra2019,0.0,,3.84,0.64,,1,,1920,3.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,2.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,3.0,ChSq1,11.0,gpfra2019,0.0,,5.5,2.5,,1,,1920,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,3.5,FCCoSp4,12.0,gpfra2019,0.0,,5.0,1.5,,1,,1920,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,,,,gpfra2019,,2.0,9.36,,,0,Composition,1920,9.5,9.25,9.25,9.5,9.25,9.25,9.5,9.5,9.25,0,men,individual
1,Nathan Chen,USA,11,194.68,102.1,92.58,0.0,,,,gpfra2019,,2.0,9.39,,,0,Interpretation of the Music,1920,9.5,9.25,9.5,9.25,8.75,9.5,9.5,9.5,9.25,0,men,individual
