rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,10.1,3Lz+3T,1.0,gpusa2019,0.0,,12.46,2.36,,1,,1920,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,11.0,4F,2.0,gpusa2019,0.0,,15.4,4.4,,1,,1920,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,11.8,4T+1Eu+2F,3.0,gpusa2019,0.0,,14.24,2.44,,1,,1920,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,3.5,CCoSp4,4.0,gpusa2019,0.0,,4.6,1.1,,1,,1920,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,8.0,3A,5.0,gpusa2019,0.0,,11.09,3.09,,1,,1920,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,3.3,StSq3,6.0,gpusa2019,0.0,,4.48,1.18,,1,,1920,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,10.67,4S,7.0,gpusa2019,1.0,,13.44,2.77,,1,,1920,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,1.43,2T,8.0,gpusa2019,1.0,,1.43,0.0,,1,,1920,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,10.23,3A+2T,9.0,gpusa2019,1.0,,12.06,1.83,,1,,1920,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,3.2,CCSp4,10.0,gpusa2019,0.0,,4.07,0.87,,1,,1920,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0,men,individual
1,Nathan Chen,USA,12,196.38,102.38,94.0,0.0,3.0,ChSq1,11.0,gpusa2019,0.0,,5.5,2.5,,1,,1920,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0,men,individual
