rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,4.3,3S,1.0,gpcan2018,0.0,,5.53,1.23,,1,,1819,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,6.8,3T+2T+2T,2.0,gpcan2018,0.0,,7.88,1.08,,1,,1819,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,4.3,3S,3.0,gpcan2018,0.0,,6.02,1.72,,1,,1819,5.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,5.1,3Li4,4.0,gpcan2018,0.0,,7.21,2.11,,1,,1819,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,3.5,PCoSp2,5.0,gpcan2018,0.0,,4.6,1.1,,1,,1819,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,5.3,3FTh,6.0,gpcan2018,0.0,,6.89,1.59,,1,,1819,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,3.0,ChSq1,7.0,gpcan2018,0.0,,4.93,1.93,,1,,1819,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,7.0,5ALi4,8.0,gpcan2018,0.0,,9.9,2.9,,1,,1819,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,4.4,3STh,9.0,gpcan2018,0.0,,6.29,1.89,,1,,1819,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,0,pairs,individual
1,Vanessa James / Morgan Cipres,FRA,8,147.3,75.34,72.96,1.0,3.8,FiDs4,10.0,gpcan2018,0.0,,4.72,0.92,,1,,1819,2.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,0,pairs,individual
