rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,10.8,4T+2T,1.0,gpusa2024,0.0,,13.24,2.44,,1,,2425,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,9.5,4T,2.0,gpusa2024,0.0,,12.08,2.58,,1,,2425,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,5.9,3Lz,3.0,gpusa2024,0.0,,7.5,1.6,,1,,2425,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,11.3,3A+2A+SEQ,4.0,gpusa2024,0.0,,13.81,2.51,,1,,2425,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,3.5,FCCoSp4,5.0,gpusa2024,0.0,,4.5,1.0,,1,,2425,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,3.3,StSq3,6.0,gpusa2024,0.0,,4.57,1.27,,1,,2425,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,8.8,3A,7.0,gpusa2024,1.0,,11.89,3.09,,1,,2425,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,9.9,3T+1Eu+3S,8.0,gpusa2024,1.0,,10.88,0.98,,1,,2425,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,5.83,3F!,9.0,gpusa2024,1.0,,6.36,0.53,!,1,,2425,0.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,3.2,CCSp4,10.0,gpusa2024,0.0,,4.21,1.01,,1,,2425,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,3.0,ChSq1,11.0,gpusa2024,0.0,,5.21,2.21,,1,,2425,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,3.5,CCoSp4,12.0,gpusa2024,0.0,,4.65,1.15,,1,,2425,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,,,,gpusa2024,,3.33,9.21,,,0,Composition,2425,9.0,9.0,9.25,8.5,9.0,9.5,9.25,9.5,9.5,0,men,individual
1,Kevin Aymoz,FRA,9,190.84,98.9,91.94,0.0,,,,gpusa2024,,3.33,9.04,,,0,Skating Skills,2425,9.0,8.75,9.25,9.0,9.5,8.75,8.75,9.0,9.5,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,11.0,4F,1.0,gpusa2024,0.0,,15.24,4.24,,1,,2425,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,8.0,3A,2.0,gpusa2024,0.0,,10.4,2.4,,1,,2425,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,11.5,4Lz,3.0,gpusa2024,0.0,,14.13,2.63,,1,,2425,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,1.7,2Lo,4.0,gpusa2024,0.0,,1.72,0.02,,1,,2425,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,3.5,CCoSp4,5.0,gpusa2024,0.0,,4.2,0.7,,1,,2425,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,6.49,3Lz,6.0,gpusa2024,1.0,,4.13,-2.36,,1,,2425,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,15.07,4T+3T,7.0,gpusa2024,1.0,,16.43,1.36,,1,,2425,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,19.47,4Sq+3A+SEQ,8.0,gpusa2024,1.0,,18.64,-0.83,q,1,,2425,-2.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,2.8,CCSp3,9.0,gpusa2024,0.0,,3.32,0.52,,1,,2425,1.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,3.9,StSq4,10.0,gpusa2024,0.0,,5.07,1.17,,1,,2425,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,3.0,ChSq1,11.0,gpusa2024,0.0,,5.14,2.14,,1,,2425,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,3.0,FSSp4,12.0,gpusa2024,0.0,,3.77,0.77,,1,,2425,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,,,,gpusa2024,,3.33,8.82,,,0,Composition,2425,8.75,8.75,8.75,8.75,8.75,9.0,9.5,9.0,8.75,0,men,individual
2,Ilia Malinin,USA,12,190.43,102.19,88.24,0.0,,,,gpusa2024,,3.33,8.79,,,0,Skating Skills,2425,8.5,8.75,8.75,9.0,8.5,9.0,9.0,9.25,8.5,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,12.8,3A+1Eu+3S,1.0,gpusa2024,0.0,,14.86,2.06,,1,,2425,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,9.7,4S,2.0,gpusa2024,0.0,,11.09,1.39,,1,,2425,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,9.5,4Tq,3.0,gpusa2024,0.0,,8.96,-0.54,q,1,,2425,-1.0,0.0,1.0,-2.0,0.0,-1.0,0.0,-1.0,-1.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,3.2,FCSp4,4.0,gpusa2024,0.0,,3.75,0.55,,1,,2425,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,6.4,3A<,5.0,gpusa2024,0.0,,5.67,-0.73,<,1,,2425,-2.0,-1.0,0.0,-2.0,-1.0,-2.0,0.0,-1.0,-1.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,2.6,StSq2,6.0,gpusa2024,0.0,,3.16,0.56,,1,,2425,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,15.07,4T+3T,7.0,gpusa2024,1.0,,17.92,2.85,,1,,2425,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,9.46,3F+2A+SEQ,8.0,gpusa2024,1.0,,10.37,0.91,,1,,2425,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,3.0,ChSq1,9.0,gpusa2024,0.0,,4.64,1.64,,1,,2425,3.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,5.39,3Lo,10.0,gpusa2024,1.0,,6.37,0.98,,1,,2425,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0,men,individual
3,Kao Miura,JPN,11,179.13,93.89,85.24,0.0,2.6,CSSp3,11.0,gpusa2024,0.0,,3.16,0.56,,1,,2425,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0,men,individual
