rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,15.2,4F+3T,1.0,gpf1920,0.0,,20.23,5.03,,1,,1920,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,11.5,4Lz,2.0,gpf1920,0.0,,15.77,4.27,,1,,1920,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,14.3,4T+1Eu+3S,3.0,gpf1920,0.0,,17.01,2.71,,1,,1920,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,3.2,CCSp4,4.0,gpf1920,0.0,,4.21,1.01,,1,,1920,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,8.0,3A,5.0,gpf1920,0.0,,10.86,2.86,,1,,1920,3.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,3.3,StSq3,6.0,gpf1920,0.0,,4.53,1.23,,1,,1920,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,10.67,4S,7.0,gpf1920,1.0,,14.83,4.16,,1,,1920,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,10.45,4T,8.0,gpf1920,1.0,,13.71,3.26,,1,,1920,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,11.11,3Lz+3T,9.0,gpf1920,1.0,,12.96,1.85,,1,,1920,4.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,3.5,CCoSp4,10.0,gpf1920,0.0,,4.75,1.25,,1,,1920,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,3.0,ChSq1,11.0,gpf1920,0.0,,5.43,2.43,,1,,1920,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,3.5,FCCoSp4,12.0,gpf1920,0.0,,4.85,1.35,,1,,1920,4.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,,,,gpf1920,,2.0,9.61,,,0,Composition,1920,9.5,9.5,9.5,9.5,9.75,9.75,9.75,9.75,9.5,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,,,,gpf1920,,2.0,9.64,,,0,Interpretation of the Music,1920,9.5,9.75,9.25,9.75,9.75,9.75,9.5,9.75,9.5,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,,,,gpf1920,,2.0,9.68,,,0,Performance,1920,10.0,9.75,9.25,9.5,9.75,9.75,9.75,9.75,9.5,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,,,,gpf1920,,2.0,9.57,,,0,Skating Skills,1920,9.75,9.75,9.0,9.5,9.5,9.75,9.5,9.75,9.25,0,men,individual
1,Nathan Chen,USA,6,224.92,129.14,95.78,0.0,,,,gpf1920,,2.0,9.39,,,0,Transitions,1920,9.25,9.5,9.25,9.25,9.5,9.75,9.5,9.5,9.25,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,10.5,4Lo,1.0,gpf1920,0.0,,14.55,4.05,,1,,1920,5.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,11.5,4Lz,2.0,gpf1920,0.0,,15.44,3.94,,1,,1920,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,3.5,FCCoSp4,3.0,gpf1920,0.0,,4.7,1.2,,1,,1920,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,3.3,StSq3,4.0,gpf1920,0.0,,4.48,1.18,,1,,1920,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,5.9,3Lz,5.0,gpf1920,0.0,,7.5,1.6,,1,,1920,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,9.7,4S,6.0,gpf1920,0.0,,11.92,2.22,,1,,1920,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,15.66,4T+1Eu+3F<,7.0,gpf1920,1.0,,13.35,-2.31,<,1,,1920,-1.0,-1.0,-5.0,-3.0,-2.0,-2.0,-3.0,-2.0,-4.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,11.88,4T+2T,8.0,gpf1920,1.0,,13.78,1.9,,1,,1920,3.0,3.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,1.21,1A,9.0,gpf1920,1.0,,1.27,0.06,,1,,1920,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,3.0,ChSq1,10.0,gpf1920,0.0,,4.71,1.71,,1,,1920,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,0,men,individual
2,Yuzuru Hanyu,JPN,5,194.0,100.36,93.64,0.0,3.0,FCSSp4,11.0,gpf1920,0.0,,3.86,0.86,,1,,1920,3.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,0,men,individual
