competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
owg2018,1718,0,pairs,team,1,VIKARNE-HOMOLYA Zsuzsanna,HUN
owg2018,1718,0,pairs,team,2,Elke TREITZ,GER
owg2018,1718,0,pairs,team,3,Anna KANTOR,ISR
owg2018,1718,0,pairs,team,4,LESKINEN Pekka,FIN
owg2018,1718,0,pairs,team,5,BIEGLER Thomas,AUT
owg2018,1718,0,pairs,team,6,Feng HUANG,CHN
owg2018,1718,0,pairs,team,7,Anthony LEROY,FRA
owg2018,1718,0,pairs,team,8,Jeff LUKASIK,CAN
owg2018,1718,0,pairs,team,9,BAUDYSOVA Jana,CZE
ec2018,1718,1,men,individual,1,CHAPMAN Mary,GBR
ec2018,1718,1,men,individual,2,Hanna THEN,POL
ec2018,1718,1,men,individual,3,hege jensen rosto,NOR
ec2018,1718,1,men,individual,4,FAIG Ulla,GER
ec2018,1718,1,men,individual,5,Kadi ZVIRIK,EST
ec2018,1718,1,men,individual,6,KANKAANRANTA Marjo,FIN
ec2018,1718,1,men,individual,7,Adriana DOMANSKA,SVK
ec2018,1718,1,men,individual,8,AHISKAL Senem,TUR
ec2018,1718,1,men,individual,9,CHIGOGIDZE Salome,GEO
ec2018,1718,0,men,individual,1,hege jensen rosto,NOR
ec2018,1718,0,men,individual,2,CHIGOGIDZE Salome,GEO
ec2018,1718,0,men,individual,3,Claudia FASSORA,SUI
ec2018,1718,0,men,individual,4,AHISKAL Senem,TUR
ec2018,1718,0,men,individual,5,Florence VUYLSTEKER,FRA
ec2018,1718,0,men,individual,6,FAIG Ulla,GER
ec2018,1718,0,men,individual,7,KRUGLOVA Natalia,UKR
ec2018,1718,0,men,individual,8,Adriana DOMANSKA,SVK
ec2018,1718,0,men,individual,9,Jeroen PRINS,NED
ec2018,1718,1,women,individual,1,Adrienn SCHADENBAUER,AUT
ec2018,1718,1,women,individual,2,Kari-Anne OLSEN,NOR
ec2018,1718,1,women,individual,3,SANCHO Saioa,ESP
ec2018,1718,1,women,individual,4,Ann FINDLAY,GBR
ec2018,1718,1,women,individual,5,KULIK Zanna,EST
ec2018,1718,1,women,individual,6,Donatella LEONELLI,SUI
ec2018,1718,1,women,individual,7,ANDREEVA Julia,RUS
ec2018,1718,1,women,individual,8,Attila SOOS,HUN
ec2018,1718,1,women,individual,9,ANILDI Ebru,TUR
ec2018,1718,0,women,individual,1,ANILDI Ebru,TUR
ec2018,1718,0,women,individual,2,DE Francoise RAPPARD,BEL
ec2018,1718,0,women,individual,3,FEDCHENKO Igor,UKR
ec2018,1718,0,women,individual,4,Kari-Anne OLSEN,NOR
ec2018,1718,0,women,individual,5,ABELE Agita,LAT
ec2018,1718,0,women,individual,6,Attila SOOS,HUN
ec2018,1718,0,women,individual,7,KULIK Zanna,EST
ec2018,1718,0,women,individual,8,Ann FINDLAY,GBR
ec2018,1718,0,women,individual,9,KOSONEN Merja,FIN
ec2018,1718,1,pairs,individual,1,EHRHARDT Karin,AUT
ec2018,1718,1,pairs,individual,2,Anna KANTOR,ISR
ec2018,1718,1,pairs,individual,3,Elke TREITZ,GER
ec2018,1718,1,pairs,individual,4,CEROVAC Josip,CRO
ec2018,1718,1,pairs,individual,5,Anthony LEROY,FRA
ec2018,1718,1,pairs,individual,6,Margaret Worsfold,GBR
ec2018,1718,1,pairs,individual,7,Asa NORDBACK,SWE
ec2018,1718,1,pairs,individual,8,Massimo ORLANDINI,ITA
ec2018,1718,1,pairs,individual,9,Elena FOMINA,RUS
ec2018,1718,0,pairs,individual,1,Elena FOMINA,RUS
ec2018,1718,0,pairs,individual,2,Ekaterina SEROVA,BLR
ec2018,1718,0,pairs,individual,3,SMIDOVA Stanislava,CZE
ec2018,1718,0,pairs,individual,4,BINZ-MOSER Prisca,SUI
ec2018,1718,0,pairs,individual,5,KRAUZIENE Laimute,LTU
ec2018,1718,0,pairs,individual,6,EHRHARDT Karin,AUT
ec2018,1718,0,pairs,individual,7,Asa NORDBACK,SWE
ec2018,1718,0,pairs,individual,8,CEROVAC Josip,CRO
ec2018,1718,0,pairs,individual,9,Anthony LEROY,FRA
wc2018,1718,1,men,individual,1,Anna SIEROCKA,POL
wc2018,1718,1,men,individual,2,SHI Wei,CHN
wc2018,1718,1,men,individual,3,AMAKO Kenji,JPN
wc2018,1718,1,men,individual,4,NUMANOVA Saodat,UZB
wc2018,1718,1,men,individual,5,RISTANEN Tarja,FIN
wc2018,1718,1,men,individual,6,Anna KANTOR,ISR
wc2018,1718,1,men,individual,7,BLATZ Susan,CAN
wc2018,1718,1,men,individual,8,Igor OBRAZTSOV,RUS
