rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,9.2,4Lz<,1.0,ec2020,0.0,,8.28,-0.92,<,1,,1920,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,9.5,4T,2.0,ec2020,0.0,,11.4,1.9,,1,,1920,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,13.7,4T+3T,3.0,ec2020,0.0,,16.41,2.71,,1,,1920,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,5.3,3F,4.0,ec2020,0.0,,6.59,1.29,,1,,1920,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,3.2,FCSp4,5.0,ec2020,0.0,,3.61,0.41,,1,,1920,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,3.0,ChSq1,6.0,ec2020,0.0,,4.14,1.14,,1,,1920,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,8.8,3A,7.0,ec2020,1.0,,11.09,2.29,,1,,1920,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,11.11,3Lz+3T,8.0,ec2020,1.0,,12.04,0.93,,1,,1920,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,10.67,3Lo+1Eu+3S,9.0,ec2020,1.0,,11.58,0.91,,1,,1920,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,3.9,StSq4,10.0,ec2020,0.0,,5.24,1.34,,1,,1920,2.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,2.6,CSSp3,11.0,ec2020,0.0,,3.27,0.67,,1,,1920,2.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,3.5,CCoSp4,12.0,ec2020,0.0,,4.45,0.95,,1,,1920,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,,,,ec2020,,2.0,8.64,,,0,Composition,1920,8.5,9.0,9.25,8.5,8.5,8.75,8.5,8.5,8.75,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,,,,ec2020,,2.0,8.79,,,0,Interpretation of the Music,1920,8.5,9.25,9.25,9.0,8.5,8.75,8.75,8.25,8.75,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,,,,ec2020,,2.0,8.71,,,0,Performance,1920,8.5,9.0,9.0,9.0,8.5,8.75,8.5,8.25,8.75,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,,,,ec2020,,2.0,8.64,,,0,Skating Skills,1920,8.5,9.0,9.0,8.25,8.5,8.75,8.5,8.75,8.5,0,men,individual
1,Dmitri Aliev,RUS,23,184.44,98.1,86.34,0.0,,,,ec2020,,2.0,8.39,,,0,Transitions,1920,8.0,8.75,9.0,8.0,8.25,8.5,8.75,8.0,8.5,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,11.5,4Lz,1.0,ec2020,0.0,,11.99,0.49,,1,,1920,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,11.0,4F,2.0,ec2020,0.0,,12.73,1.73,,1,,1920,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,8.4,4Lo<,3.0,ec2020,0.0,,8.04,-0.36,<,1,,1920,-1.0,-2.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,8.0,3A,4.0,ec2020,0.0,,8.91,0.91,,1,,1920,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,2.6,CSSp3,5.0,ec2020,0.0,,3.19,0.59,,1,,1920,3.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,11.11,3Lz+3T,6.0,ec2020,1.0,,11.87,0.76,,1,,1920,1.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,9.09,3Lo+3T<,7.0,ec2020,1.0,,8.6,-0.49,<,1,,1920,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,3.0,ChSq1,8.0,ec2020,0.0,,3.86,0.86,,1,,1920,3.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,10.82,3Lz+1Eu+3S<,9.0,ec2020,1.0,,10.23,-0.59,<,1,,1920,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,3.9,StSq4,10.0,ec2020,0.0,,4.68,0.78,,1,,1920,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,3.5,FCCoSp4,11.0,ec2020,0.0,,4.55,1.05,,1,,1920,3.0,3.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,3.5,CCoSp4,12.0,ec2020,0.0,,4.7,1.2,,1,,1920,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,,,,ec2020,,2.0,7.61,,,0,Composition,1920,8.25,7.5,7.75,7.5,7.75,7.5,8.25,7.0,7.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,,,,ec2020,,2.0,7.57,,,0,Interpretation of the Music,1920,8.25,7.25,7.75,7.5,8.0,7.25,8.25,6.75,7.0,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,,,,ec2020,,2.0,7.5,,,0,Performance,1920,7.75,6.75,8.0,7.75,8.25,7.25,8.25,6.75,6.75,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,,,,ec2020,,2.0,7.46,,,0,Skating Skills,1920,7.75,6.5,7.75,7.25,7.75,7.25,8.25,7.25,7.25,0,men,individual
2,Daniel Grassl,ITA,15,168.27,93.35,74.92,0.0,,,,ec2020,,2.0,7.32,,,0,Transitions,1920,7.5,6.5,7.75,7.25,8.0,7.25,8.0,7.0,6.5,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,11.0,4S+2T,1.0,ec2020,0.0,,13.08,2.08,,1,,1920,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,8.0,3A,2.0,ec2020,0.0,,10.4,2.4,,1,,1920,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,9.5,4T,3.0,ec2020,0.0,,4.75,-4.75,,1,,1920,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,4.9,3Lo,4.0,ec2020,0.0,,5.88,0.98,,1,,1920,1.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,2.8,FCSp3,5.0,ec2020,0.0,,3.2,0.4,,1,,1920,2.0,-1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,0,men,individual
3,Morisi Kvitelashvili,GEO,21,163.94,86.52,78.42,-1.0,3.9,StSq4,6.0,ec2020,0.0,,4.74,0.84,,1,,1920,1.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,0,men,individual
