rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,extra_points,factor,final_score,goe,info,program_component,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,is_mens
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,9.6,3F+3T,1.0,0.0,,11.0,1.4,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,6.0,3Lz,2.0,0.0,,7.6,1.6,,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,3.5,FCCoSp4,3.0,0.0,,4.57,1.07,,,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,3.9,StSq4,4.0,0.0,,5.9,2.0,,,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,5.83,3F,5.0,1.0,,7.73,1.9,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,5.61,3Lo,6.0,1.0,,7.31,1.7,,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,6.49,2A+2T+2T,7.0,1.0,,7.28,0.79,,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,9.57,3S+3T,8.0,1.0,,11.17,1.6,,,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,3.63,2A,9.0,1.0,,4.34,0.71,,,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,2.0,ChSq1,10.0,0.0,,3.8,1.8,,,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,3.5,CCoSp4,11.0,0.0,,4.64,1.14,,,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,2.7,LSp4,12.0,0.0,,3.84,1.14,,,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,,,,,1.6,9.71,,,Composition,9.5,10.0,9.75,10.0,9.5,9.75,9.75,9.5,9.75,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,,,,,1.6,9.89,,,Interpretation of the Music,9.75,10.0,10.0,10.0,9.5,10.0,9.75,9.75,10.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,,,,,1.6,9.82,,,Performance,9.5,9.75,10.0,10.0,9.5,10.0,9.75,9.75,10.0,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,,,,,1.6,9.57,,,Skating Skills,9.5,9.5,9.75,9.75,9.5,9.75,9.5,9.5,9.5,0,0
1,Medvedeva Evgenia,OAR,24,156.65,79.18,77.47,0.0,,,,,1.6,9.43,,,Transitions,9.25,9.5,9.5,9.75,9.25,9.5,9.25,9.5,9.5,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,2.0,ChSq1,1.0,0.0,,3.7,1.7,,,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,3.2,FCSp4,2.0,0.0,,4.27,1.07,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,3.9,StSq4,3.0,0.0,,5.7,1.8,,,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,6.6,3Lz,4.0,1.0,,7.1,0.5,,,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,8.36,2A+3T,5.0,1.0,,9.76,1.4,,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,9.24,3F+2T+2Lo,6.0,1.0,,10.44,1.2,,,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,2.7,LSp4,7.0,0.0,,3.77,1.07,,,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,12.21,3Lz+3Lo,8.0,1.0,,13.91,1.7,,,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,4.84,3S,9.0,1.0,,6.24,1.4,,,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,0,0
2,Zagitova Alina,OAR,22,156.65,81.62,75.03,0.0,5.83,3F,10.0,1.0,,7.53,1.7,,,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0,0
