rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,10.5,4Lo,1.0,gpcan2019,0.0,,10.35,-0.15,,1,,1920,0.0,-1.0,-1.0,3.0,0.0,-2.0,1.0,1.0,-1.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,9.7,4S,2.0,gpcan2019,0.0,,12.75,3.05,,1,,1920,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,3.5,FCCoSp4,3.0,gpcan2019,0.0,,4.55,1.05,,1,,1920,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,3.9,StSq4,4.0,gpcan2019,0.0,,5.4,1.5,,1,,1920,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,5.9,3Lz,5.0,gpcan2019,0.0,,8.09,2.19,,1,,1920,4.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,9.5,4T,6.0,gpcan2019,0.0,,13.44,3.94,,1,,1920,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,16.83,4T+1Eu+3F,7.0,gpcan2019,1.0,,20.9,4.07,,1,,1920,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,13.42,3A+3T,8.0,gpcan2019,1.0,,15.93,2.51,,1,,1920,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,10.23,3A+2T,9.0,gpcan2019,1.0,,11.6,1.37,,1,,1920,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,3.0,ChSq1,10.0,gpcan2019,0.0,,4.86,1.86,,1,,1920,4.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,3.0,FCSSp4,11.0,gpcan2019,0.0,,4.07,1.07,,1,,1920,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,3.5,CCoSp4,12.0,gpcan2019,0.0,,4.65,1.15,,1,,1920,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,,,,gpcan2019,,2.0,9.71,,,0,Composition,1920,9.5,9.5,9.75,9.75,9.75,9.75,9.75,9.75,10.0,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,,,,gpcan2019,,2.0,9.71,,,0,Interpretation of the Music,1920,9.5,9.5,9.75,9.75,9.75,9.75,9.75,9.75,9.75,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,,,,gpcan2019,,2.0,9.64,,,0,Performance,1920,9.5,9.75,10.0,9.75,9.5,9.5,9.5,9.75,9.75,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,,,,gpcan2019,,2.0,9.68,,,0,Skating Skills,1920,9.75,9.75,9.5,9.75,9.5,9.75,9.75,9.5,9.75,0,men,individual
1,Yuzuru Hanyu,JPN,11,212.99,116.59,96.4,0.0,,,,gpcan2019,,2.0,9.46,,,0,Transitions,1920,9.25,9.5,9.5,9.75,9.5,9.5,9.25,9.5,9.5,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,13.9,4S+3T,1.0,gpcan2019,0.0,,16.67,2.77,,1,,1920,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,9.7,4S,2.0,gpcan2019,0.0,,12.61,2.91,,1,,1920,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,5.9,3Lz,3.0,gpcan2019,0.0,,7.42,1.52,,1,,1920,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,8.4,3A+1T,4.0,gpcan2019,0.0,,9.09,0.69,,1,,1920,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,3.2,CCSp4,5.0,gpcan2019,0.0,,3.47,0.27,,1,,1920,1.0,1.0,1.0,0.0,2.0,1.0,2.0,-2.0,0.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,3.3,StSq3,6.0,gpcan2019,0.0,,4.01,0.71,,1,,1920,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,14.08,3A+1Eu+3S,7.0,gpcan2019,1.0,,14.19,0.11,,1,,1920,1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,5.39,3Lo,8.0,gpcan2019,1.0,,6.3,0.91,,1,,1920,2.0,2.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,5.83,3F,9.0,gpcan2019,1.0,,6.66,0.83,,1,,1920,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,3.0,ChSq1,10.0,gpcan2019,0.0,,4.14,1.14,,1,,1920,3.0,3.0,0.0,1.0,3.0,3.0,4.0,1.0,2.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,3.5,FCCoSp4,11.0,gpcan2019,0.0,,3.8,0.3,,1,,1920,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,3.5,CCoSp4,12.0,gpcan2019,0.0,,4.05,0.55,,1,,1920,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,,,,gpcan2019,,2.0,8.64,,,0,Composition,1920,8.5,9.0,9.0,8.0,8.75,8.75,8.75,8.5,8.25,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,,,,gpcan2019,,2.0,8.71,,,0,Interpretation of the Music,1920,8.75,9.0,8.75,8.25,9.0,8.75,9.0,8.5,8.25,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,,,,gpcan2019,,2.0,8.93,,,0,Performance,1920,9.0,9.25,9.25,9.0,9.0,8.75,9.0,8.0,8.5,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,,,,gpcan2019,,2.0,8.57,,,0,Skating Skills,1920,8.5,8.75,8.75,8.75,8.5,8.75,8.5,8.25,8.25,0,men,individual
2,Nam Nguyen,CAN,12,178.69,92.41,86.28,0.0,,,,gpcan2019,,2.0,8.29,,,0,Transitions,1920,8.25,8.75,8.5,8.0,8.5,8.25,8.5,8.0,8.0,0,men,individual
3,Keiji Tanaka,JPN,9,169.91,84.91,85.0,0.0,9.7,4S,1.0,gpcan2019,0.0,,12.19,2.49,,1,,1920,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0,men,individual
