rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,5.9,3Lz,1.0,gpfra2022,0.0,,6.24,0.34,,1,,2223,0.0,1.0,1.0,0.0,2.0,1.0,-1.0,0.0,1.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,10.8,4T+2T,2.0,gpfra2022,0.0,,12.29,1.49,,1,,2223,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,8.0,3A,3.0,gpfra2022,0.0,,9.71,1.71,,1,,2223,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,9.7,4S,4.0,gpfra2022,0.0,,12.33,2.63,,1,,2223,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,15.73,4T+1Eu+3S,5.0,gpfra2022,1.0,,15.19,-0.54,,1,,2223,0.0,0.0,-2.0,1.0,-2.0,1.0,-2.0,0.0,-1.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,3.5,FCCoSp4,6.0,gpfra2022,0.0,,4.0,0.5,,1,,2223,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,11.11,3Lz+3T,7.0,gpfra2022,1.0,,11.95,0.84,,1,,2223,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,5.83,3F,8.0,gpfra2022,1.0,,7.04,1.21,,1,,2223,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,3.0,CCoSp3,9.0,gpfra2022,0.0,,3.73,0.73,,1,,2223,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,0,men,individual
1,Adam Siao Him Fa,FRA,10,180.98,95.04,85.94,0.0,3.3,StSq3,10.0,gpfra2022,0.0,,4.57,1.27,,1,,2223,5.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,0,men,individual
