rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,9.5,4T,1.0,ec2022,0.0,,11.13,1.63,,1,,2122,1.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,8.0,3A,2.0,ec2022,0.0,,9.94,1.94,,1,,2122,2.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,2.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,9.3,3A+2Tq,3.0,ec2022,0.0,,7.47,-1.83,q,1,,2122,-2.0,-3.0,-3.0,-2.0,-2.0,-1.0,-2.0,-2.0,-3.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,4.9,3Lo,4.0,ec2022,0.0,,6.16,1.26,,1,,2122,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,2.8,FCSp3,5.0,ec2022,0.0,,3.48,0.68,,1,,2122,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,15.95,4S+1Eu+3S,6.0,ec2022,1.0,,18.86,2.91,,1,,2122,3.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,10.67,4S,7.0,ec2022,1.0,,11.09,0.42,,1,,2122,1.0,0.0,0.0,1.0,1.0,3.0,1.0,-1.0,-1.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,11.11,3Lz+3T,8.0,ec2022,1.0,,12.54,1.43,,1,,2122,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,3.0,CSSp4,9.0,ec2022,0.0,,3.51,0.51,,1,,2122,2.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0,men,individual
1,Mark Kondratiuk,RUS,23,187.5,97.48,90.02,0.0,3.3,StSq3,10.0,ec2022,0.0,,4.29,0.99,,1,,2122,4.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,0,men,individual
