rank,name,noc,starting_number,tss,tes,tpcs,deductions,base_value,element,element_no,event,extra_points,factor,final_score,goe,info,is_element,program_component,year,J1,J2,J3,J4,J5,J6,J7,J8,J9,is_short_program,category,event_type
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,9.05,3Lz+3T<,1.0,fc2019,0.0,,9.13,0.08,<,1,,1819,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,-2.0,1.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,7.5,2A+3T,2.0,fc2019,0.0,,8.88,1.38,,1,,1819,4.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,4.9,3Lo,3.0,fc2019,0.0,,5.04,0.14,,1,,1819,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,2.0,2.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,3.5,CCoSp4,4.0,fc2019,0.0,,4.45,0.95,,1,,1819,3.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,3.9,StSq4,5.0,fc2019,0.0,,5.35,1.45,,1,,1819,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,10.1,3Lz+3T,6.0,fc2019,0.0,,11.95,1.85,,1,,1819,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,5.83,3F,7.0,fc2019,1.0,,7.27,1.44,,1,,1819,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,2.7,LSp4,8.0,fc2019,0.0,,3.63,0.93,,1,,1819,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,9.79,3Lz+2T+2Lo,9.0,fc2019,1.0,,11.39,1.6,,1,,1819,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,3.0,FSSp4,10.0,fc2019,0.0,,3.6,0.6,,1,,1819,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,3.0,ChSq1,11.0,fc2019,0.0,,4.71,1.71,,1,,1819,5.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,4.73,3S,12.0,fc2019,1.0,,5.96,1.23,,1,,1819,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,,,,fc2019,,1.6,8.82,,,0,Composition,1819,9.5,8.5,9.0,8.5,9.0,9.0,9.0,8.75,8.5,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,,,,fc2019,,1.6,9.0,,,0,Interpretation of the Music,1819,9.25,8.5,8.75,9.0,9.0,9.5,9.25,9.0,8.75,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,,,,fc2019,,1.6,8.89,,,0,Performance,1819,8.75,8.5,9.0,8.75,8.75,9.5,9.25,9.0,8.75,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,,,,fc2019,,1.6,8.68,,,0,Skating Skills,1819,8.5,8.75,9.0,8.5,8.5,9.25,8.5,9.0,8.5,0,women,individual
1,Rika Kihira,JPN,19,153.14,82.74,70.4,0.0,,,,fc2019,,1.6,8.61,,,0,Transitions,1819,9.0,8.25,8.75,8.5,8.5,9.0,8.25,8.75,8.5,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,9.7,4S,1.0,fc2019,0.0,,4.85,-4.85,,1,,1819,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.0,ChSq1,2.0,fc2019,0.0,,4.43,1.43,,1,,1819,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.3,2A,3.0,fc2019,0.0,,4.24,0.94,,1,,1819,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,4.9,3Lo,4.0,fc2019,0.0,,6.16,1.26,,1,,1819,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.0,CCoSp3,5.0,fc2019,0.0,,3.81,0.81,,1,,1819,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,5.3,3F,6.0,fc2019,0.0,,6.51,1.21,,1,,1819,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,8.25,2A+3T,7.0,fc2019,1.0,,9.33,1.08,,1,,1819,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.0,FSSp4,8.0,fc2019,0.0,,3.73,0.73,,1,,1819,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,9.79,3Lz+2T+2Lo,9.0,fc2019,1.0,,11.31,1.52,,1,,1819,2.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,4.73,3S,10.0,fc2019,1.0,,5.84,1.11,,1,,1819,2.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.9,StSq4,11.0,fc2019,0.0,,5.35,1.45,,1,,1819,4.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,3.5,FCCoSp4,12.0,fc2019,0.0,,4.8,1.3,,1,,1819,4.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,,,,fc2019,,1.6,8.43,,,0,Composition,1819,8.25,8.25,8.5,8.25,8.5,8.25,8.75,8.5,8.75,0,women,individual
2,Mai Mihara,JPN,16,141.97,74.64,67.33,0.0,,,,fc2019,,1.6,8.57,,,0,Interpretation of the Music,1819,8.5,8.0,8.5,8.5,8.5,8.5,9.0,8.75,8.75,0,women,individual
